Date,Age,Gender,Income,ChessExp,ChessLessons,PeakUSCF,PeakBlitz,GPA,SAT
11/10/2022,20,Male,"$120,000 to $140,000",3-5,Yes,1636,1990,3.86,1570
11/10/2022,19,Male,"$120,000 to $140,000",0-1,No,N/A,800,3.7,1460
11/10/2022,19,Male,"$180,000 to $200,000",0-1,No,1200,N/A,4,1590
11/10/2022,19,Male,"More than $200,000",0-1,No,N/A,520,3.9,1570
11/10/2022,19,Male,"More than $200,000",0-1,No,N/A,N/A,4,1530
11/10/2022,18,Male,"More than $200,000",1-3,Yes,1400,2000,4,1570
11/10/2022,18,Male,"More than $200,000",1-3,Yes,1400,2000,4,1570
11/10/2022,19,Male,"More than $200,000",5+,Yes,2050,2200,3.97,1500
11/10/2022,19,Male,"$100,000 to $120,000",5+,Yes,793,1080 chesscom,3.63,1390
11/11/2022,20,Male,"More than $200,000",0-1,No,N/A,1021,3.8,1310
11/11/2022,20,Male,"$140,000 to $160,000",5+,Yes,1600,1400,3.67,1480
11/11/2022,21,Male,"$80,000 to $100,000",5+,No,NA,1399,3.4,1360
11/11/2022,18,Other,"Under $20,000",3-5,No,1250,1600,3,1300
11/11/2022,22,Male,"More than $200,000",5+,No,N/A,1600,4,1500
11/11/2022,19,Male,"$180,000 to $200,000",1-3,No,N/A,1600,3.9,1500
11/11/2022,20,Male,"More than $200,000",5+,Yes,2050,2300,3.9,1580
11/11/2022,20,Female,"More than $200,000",5+,Yes,2350,2400,4,1580
11/11/2022,20,Female,"$140,000 to $160,000",1-3,No,N/A,600,3.5,1500
11/11/2022,30,Male,"More than $200,000",5+,No,1980,2000,4,1580
11/11/2022,19,Male,"More than $200,000",5+,Yes,2100,2200,3.9,1550
11/11/2022,19,Male,"More than $200,000",0-1,No,N/A,500,4,1570
11/11/2022,20,Male,"More than $200,000",0-1,No,N/A,500,4,1600
11/11/2022,17,Female,"More than $200,000",5+,Yes,2000,2200,4,1540
11/11/2022,19,Female,"$100,000 to $120,000",5+,No,1800,1800,3.7,1500
11/11/2022,19,Male,"$160,000 to $180,000",5+,Yes,2100,2250,4,1570
11/11/2022,19,Male,"$160,000 to $180,000",5+,Yes,2100,2250,4,1570
11/11/2022,19,Male,"More than $200,000",1-3,No,N/A,1000,4,1600
11/11/2022,20,Male,"$120,000 to $140,000",1-3,No,N/A,700,3,1400
11/11/2022,20,Male,"More than $200,000",1-3,No,700,700,3.8,N/A
11/11/2022,20,Male,"$120,000 to $140,000",5+,Yes,1600,1900,4,1580
11/11/2022,20,Female,"More than $200,000",5+,Yes,2450,2600,4,1580
11/11/2022,20,Male,"$140,000 to $160,000",3-5,No,N/A,2000,3.9,1560
11/11/2022,18,Male,"More than $200,000",5+,Yes,2000,2200,3.6,1450
11/11/2022,20,Male,"$140,000 to $160,000",3-5,No,700,600,4,1560
11/11/2022,18,Female,"More than $200,000",3-5,Yes,2150,2300,4,1550
11/11/2022,17,Male,"More than $200,000",5+,Yes,2250,2400,3.5,1400
11/11/2022,20,Male,"More than $200,000",5+,Yes,2200,2300,4,1560
11/11/2022,20,Male,"More than $200,000",5+,Yes,2200,2300,4,1560
11/11/2022,18,Female,"More than $200,000",0-1,No,N/A,N/A,3.9,1550
11/11/2022,18,Female,"More than $200,000",1-3,No,N/A,500,3.8,1580
11/11/2022,20,Male,"$80,000 to $100,000",1-3,No,1000,1300,3.7,1500
11/11/2022,20,Male,"More than $200,000",5+,Yes,2100,2400,4,1540
11/11/2022,20,Male,"$120,000 to $140,000",3-5,No,1000,1500,3.8,1550
11/11/2022,20,Male,"$160,000 to $180,000",0-1,No,1400,1500,4,1590
11/11/2022,20,Male,"More than $200,000",5+,Yes,2100,2100,4,1570
11/11/2022,21,Female,"More than $200,000",5+,Yes,1700,1500,4,1570
11/11/2022,21,Female,"More than $200,000",5+,Yes,1700,1500,4,N/A
11/11/2022,21,Male,"More than $200,000",5+,Yes,2300,2500,3.7,1550
11/11/2022,20,Male,"More than $200,000",5+,Yes,2100,2000,4,1600
11/11/2022,22,Male,"$160,000 to $180,000",5+,Yes,2350,2600,3.7,1540
11/11/2022,20,Male,"$120,000 to $140,000",3-5,No,1800,2000,3.6,1520
11/11/2022,19,Male,"More than $200,000",5+,Yes,2150,2300,4,1550
11/11/2022,20,Male,"More than $200,000",5+,Yes,1800,2000,4,1500
11/11/2022,21,Male,"$100,000 to $120,000",5+,No,1320,1800,3.9,1580
11/11/2022,21,Male,"More than $200,000",5+,Yes,2200,2300,3.6,1540
11/12/2022,19,Male,"$80,000 to $100,000",5+,Yes,1563,2000,3.43,1270
11/12/2022,20,Male,"$100,000 to $120,000",3-5,No,1700,N/A,3.7,900
11/12/2022,20,Male,"More than $200,000",5+,Yes,2150,2300ish,3.9,1530
11/12/2022,22,Male,"$140,000 to $160,000",5+,Yes,2394,2850,3.7,1590
11/13/2022,19,Male,"$80,000 to $100,000",1-3,No,N/A,2207,3.2,1540
11/13/2022,22,Male,"$100,000 to $120,000",5+,Yes,1500,1750,4,1360
11/17/2022,18,Male,"More than $200,000",5+,Yes,1774,2100,4,1480
11/17/2022,14,Male,"Under $20,000",1-3,No,N/A,2100,N/A,N/A
11/18/2022,20,Male,"$120,000 to $140,000",1-3,No,1200,1500,3.9,1550
11/18/2022,20,Male,"$120,000 to $140,000",1-3,No,N/A,800,3,1400
11/18/2022,20,Female,"More than $200,000",0-1,No,N/A,500,3.1,1450
11/18/2022,20,Male,"$180,000 to $200,000",3-5,Yes,1600,2000,4,1590
11/18/2022,20,Male,"More than $200,000",5+,Yes,2137,2300,4,1500
11/18/2022,19,Male,"$160,000 to $180,000",3-5,No,N/A,1700,3.2,1430
11/18/2022,17,Male,"More than $200,000",5+,Yes,2100,2400,3.8,1520
11/18/2022,18,Female,"$100,000 to $120,000",0-1,No,N/A,300,4,1590
11/18/2022,22,Male,"More than $200,000",5+,Yes,2250,2300,4,1500
11/19/2022,20,Male,"More than $200,000",1-3,No,1400,1600,3.4,1470
11/19/2022,20,Male,"More than $200,000",5+,Yes,2230,2350,3.8,1500
11/19/2022,20,Male,"$160,000 to $180,000",1-3,No,N/A,1300,3.3,1430
11/19/2022,20,Male,"More than $200,000",5+,No,800,800,4,1560
11/20/2022,20,Male,"$180,000 to $200,000",1-3,No,1400,N/A,3.6,1470
11/20/2022,21,Male,"$140,000 to $160,000",1-3,No,1000,1500,3.5,1490
11/20/2022,19,Female,"More than $200,000",0-1,No,N/A,600,3.92,1570
11/20/2022,19,Male,"More than $200,000",1-3,No,1700,2000,3.7,1500
11/20/2022,40,Male,"More than $200,000",5+,Yes,2200,2500,N/A,1440
11/20/2022,20,Male,"More than $200,000",1-3,No,1300,1650,3.6,1490
11/20/2022,21,Female,"More than $200,000",5+,Yes,1650,1800,3.7,1500
11/20/2022,19,Male,"More than $200,000",3-5,No,1400,1550,3.8,1520
11/20/2022,19,Male,"More than $200,000",5+,No,2000,2400,3.9,1580
11/20/2022,19,Male,"$140,000 to $160,000",1-3,No,1600,1860,3.7,1500
11/20/2022,18,Male,"$100,000 to $120,000",5+,Yes,2280,2400,4,1430
11/20/2022,16,Male,"$180,000 to $200,000",3-5,Yes,2300,2400,3.8,1490
11/20/2022,20,Male,"More than $200,000",0-1,No,N/A,700,4,1580
11/27/2022,19,Male,"More than $200,000",3-5,No,1200,1400,3.5,1480
11/27/2022,19,Male,"More than $200,000",0-1,No,N/A,800,4,1540
11/27/2022,21,Male,"$140,000 to $160,000",1-3,No,N/A,1200,3.7,1500
11/27/2022,19,Male,"More than $200,000",1-3,No,1100,1340,3.6,1510
11/28/2022,20,Male,"$160,000 to $180,000",1-3,No,N/A,1300,3.4,1530
11/28/2022,20,Other,"More than $200,000",1-3,No,N/A,1400,3.8,1480
11/28/2022,18,Female,"More than $200,000",5+,Yes,2000,2200,3.9,1540
11/29/2022,19,Female,"$80,000 to $100,000",3-5,No,1400,1700,3.4,1430
11/29/2022,20,Male,"$160,000 to $180,000",1-3,No,N/A,1700,4,1520
11/29/2022,19,Male,"More than $200,000",1-3,No,900,1400,3.8,1530
11/29/2022,20,Male,"More than $200,000",3-5,No,1000,1200,3.7,1530
11/29/2022,19,Male,"More than $200,000",1-3,No,1200,1600,3.8,1500
11/30/2022,19,Male,"More than $200,000",1-3,No,N/A,1300,3.7,1350
11/30/2022,19,Male,"$140,000 to $160,000",1-3,No,N/A,800,3.5,1380
12/1/2022,20,Male,"More than $200,000",3-5,Yes,1800,2000,3.9,1550
12/1/2022,19,Male,"$140,000 to $160,000",1-3,No,1700,1820,3.7,1530
12/2/2022,19,Male,"More than $200,000",1-3,No,1500,1700,3.8,1500
12/2/2022,20,Other,"More than $200,000",1-3,No,N/A,1600,3.7,1480
12/2/2022,20,Male,"$160,000 to $180,000",1-3,No,N/A,1400,4,1560
12/2/2022,19,Male,"More than $200,000",1-3,No,700,1000,3.7,1540
12/2/2022,20,Male,"More than $200,000",3-5,No,1200,1300,3.4,1400
12/2/2022,19,Male,"More than $200,000",1-3,No,1500,1700,3.9,1450
12/2/2022,19,Male,"More than $200,000",1-3,No,1000,1200,3.6,1470
12/2/2022,19,Male,"$140,000 to $160,000",1-3,No,1200,1400,3.4,1480
12/2/2022,20,Male,"More than $200,000",3-5,Yes,1000,1400,3.8,1570
12/2/2022,19,Male,"$140,000 to $160,000",1-3,No,1400,1600,3.5,1530
12/3/2022,19,Male,"More than $200,000",1-3,No,1000,1300,3.6,1450
12/3/2022,21,Male,"$140,000 to $160,000",1-3,No,1400,1500,3.5,1440
12/3/2022,19,Female,"More than $200,000",0-1,No,N/A,800,3.92,1590
12/3/2022,19,Male,"More than $200,000",1-3,No,1400,1600,3.7,1490
12/3/2022,21,Male,"More than $200,000",5+,Yes,1300,1600,3.6,1530
12/3/2022,20,Male,"More than $200,000",1-3,No,1000,1400,3.6,1510
12/3/2022,21,Female,"More than $200,000",5+,Yes,1400,1700,3.7,1380
12/3/2022,19,Male,"More than $200,000",3-5,No,1200,1400,3.8,1450
12/4/2022,19,Male,"More than $200,000",5+,No,1800,2100,3.9,1500
12/4/2022,19,Male,"$140,000 to $160,000",1-3,No,1600,1860,3.7,1550
12/5/2022,18,Male,"$100,000 to $120,000",5+,Yes,1700,1900,4,1540
12/5/2022,16,Male,"$180,000 to $200,000",3-5,Yes,1500,1800,3.8,1470
12/6/2022,20,Male,"More than $200,000",0-1,No,N/A,500,4,1500
12/6/2022,19,Male,"More than $200,000",3-5,No,1200,1400,3.5,1480
12/6/2022,19,Male,"More than $200,000",0-1,No,N/A,1000,3.8,1530
12/6/2022,19,Male,"$140,000 to $160,000",1-3,No,1550,1700,3.7,1550
12/6/2022,18,Male,"$100,000 to $120,000",5+,Yes,1650,1800,3.6,1540
12/6/2022,20,Male,"$180,000 to $200,000",3-5,Yes,1650,1700,3.8,1500
12/6/2022,20,Male,"More than $200,000",0-1,No,N/A,700,3.5,1500
12/6/2022,19,Male,"More than $200,000",3-5,No,1200,1400,3.5,1460
12/6/2022,19,Male,"More than $200,000",0-1,No,N/A,800,4,1540